Vasya1;Star1;VStar1;VStar11@mail.ch;123-45-67
Vasya2;Star2;VStar2;VStar21@mail.ch;123-45-68
Vasya3;Star3;VStar3;VStar31@mail.ch;123-45-69
Vasya4;Star4;VStar4;VStar41@mail.ch;123-45-70
Vasya5;Star5;VStar5;VStar51@mail.ch;123-45-71
Vasya6;Star6;VStar6;VStar61@mail.ch;123-45-72
Vasya7;Star7;VStar7;VStar71@mail.ch;123-45-73
Vasya8;Star8;VStar8;VStar81@mail.ch;123-45-74
Vasya9;Star9;VStar9;VStar91@mail.ch;123-45-75
Vasya10;Star10;VStar10;VStar101@mail.ch;123-45-76
Vasya11;Star11;VStar11;VStar111@mail.ch;123-45-77
Vasya12;Star12;VStar12;VStar121@mail.ch;123-45-78
Vasya13;Star13;VStar13;VStar131@mail.ch;123-45-79
Vasya14;Star14;VStar14;VStar141@mail.ch;123-45-80
Vasya15;Star15;VStar15;VStar151@mail.ch;123-45-81
Vasya16;Star16;VStar16;VStar161@mail.ch;123-45-82
Vasya17;Star17;VStar17;VStar171@mail.ch;123-45-83
Vasya18;Star18;VStar18;VStar181@mail.ch;123-45-84
Vasya19;Star19;VStar19;VStar191@mail.ch;123-45-85
Vasya20;Star20;VStar20;VStar201@mail.ch;123-45-86
Vasya21;Star21;VStar21;VStar211@mail.ch;123-45-87
Vasya22;Star22;VStar22;VStar221@mail.ch;123-45-88
Vasya23;Star23;VStar23;VStar231@mail.ch;123-45-89
Vasya24;Star24;VStar24;VStar241@mail.ch;123-45-90
Vasya25;Star25;VStar25;VStar251@mail.ch;123-45-91
Vasya26;Star26;VStar26;VStar261@mail.ch;123-45-92
Vasya27;Star27;VStar27;VStar271@mail.ch;123-45-93
Vasya28;Star28;VStar28;VStar281@mail.ch;123-45-94
Vasya29;Star29;VStar29;VStar291@mail.ch;123-45-95
Vasya30;Star30;VStar30;VStar301@mail.ch;123-45-96
Vasya31;Star31;VStar31;VStar311@mail.ch;123-45-97
Vasya32;Star32;VStar32;VStar321@mail.ch;123-45-98
Vasya33;Star33;VStar33;VStar331@mail.ch;123-45-99
Vasya34;Star34;VStar34;VStar341@mail.ch;123-45-100
Vasya35;Star35;VStar35;VStar351@mail.ch;123-45-101
Vasya36;Star36;VStar36;VStar361@mail.ch;123-45-102
Vasya37;Star37;VStar37;VStar371@mail.ch;123-45-103
Vasya38;Star38;VStar38;VStar381@mail.ch;123-45-104
Vasya39;Star39;VStar39;VStar391@mail.ch;123-45-105
Vasya40;Star40;VStar40;VStar401@mail.ch;123-45-106
Vasya41;Star41;VStar41;VStar411@mail.ch;123-45-107
Vasya42;Star42;VStar42;VStar421@mail.ch;123-45-108
Vasya43;Star43;VStar43;VStar431@mail.ch;123-45-109
Vasya44;Star44;VStar44;VStar441@mail.ch;123-45-110
Vasya45;Star45;VStar45;VStar451@mail.ch;123-45-111
Vasya46;Star46;VStar46;VStar461@mail.ch;123-45-112
Vasya47;Star47;VStar47;VStar471@mail.ch;123-45-113
Vasya48;Star48;VStar48;VStar481@mail.ch;123-45-114
Vasya49;Star49;VStar49;VStar491@mail.ch;123-45-115
Vasya50;Star50;VStar50;VStar501@mail.ch;123-45-116
Vasya51;Star51;VStar51;VStar511@mail.ch;123-45-117
Vasya52;Star52;VStar52;VStar521@mail.ch;123-45-118
Vasya53;Star53;VStar53;VStar531@mail.ch;123-45-119
Vasya54;Star54;VStar54;VStar541@mail.ch;123-45-120
Vasya55;Star55;VStar55;VStar551@mail.ch;123-45-121
Vasya56;Star56;VStar56;VStar561@mail.ch;123-45-122
Vasya57;Star57;VStar57;VStar571@mail.ch;123-45-123
Vasya58;Star58;VStar58;VStar581@mail.ch;123-45-124
Vasya59;Star59;VStar59;VStar591@mail.ch;123-45-125
Vasya60;Star60;VStar60;VStar601@mail.ch;123-45-126
